"SessionId","SeatsRemaining","CostPerTicket","State","Booked","Location","Available","Brand","Occupancy","MovieName","Mode","LastUpdatedOn","TotalCost","Screen","Showtime"
"MTDRTT/272494","96","20$ approx","","4","Mt Druitt","92","Hoyts Cinemas","4.2%","Pathaan  (Hindi, Eng Sub)","Auto","1/02/2023 11:17:57 AM","80 $","Xtremescreen 03","1/02/2023 2:45:00 PM"
"MTDRTT/272495","88","20$ approx","","12","Mt Druitt","84","Hoyts Cinemas","12.5%","Pathaan  (Hindi, Eng Sub)","Auto","1/02/2023 11:17:58 AM","240 $","Xtremescreen 03","1/02/2023 6:00:00 PM"
"MTDRTT/272711","44","20$ approx","","15","Mt Druitt","41","Hoyts Cinemas","26.8%","Pathaan  (Hindi, Eng Sub)","Auto","1/02/2023 11:17:59 AM","300 $","Cinema 07","1/02/2023 8:30:00 PM"
"MTDRTT/272496","90","20$ approx","","10","Mt Druitt","86","Hoyts Cinemas","10.4%","Pathaan  (Hindi, Eng Sub)","Auto","1/02/2023 11:18:00 AM","200 $","Xtremescreen 03","1/02/2023 9:10:00 PM"
"BANKTN/266128","115","20$ approx","","25","Bankstown","114","Hoyts Cinemas","18%","Pathaan  (Hindi, Eng Sub)","Auto","1/02/2023 11:18:02 AM","500 $","Cinema 07","1/02/2023 6:00:00 PM"
"BANKTN/266164","93","20$ approx","","12","Bankstown","90","Hoyts Cinemas","11.8%","Pathaan  (Hindi, Eng Sub)","Auto","1/02/2023 11:18:03 AM","240 $","Cinema 02","1/02/2023 7:50:00 PM"
"WESCIN/294201","143","20$ approx","","21","Blacktown","139","Hoyts Cinemas","13.1%","Pathaan  (Hindi, Eng Sub)","Auto","1/02/2023 11:18:03 AM","420 $","Xtremescreen 01","1/02/2023 1:00:00 PM"
"WESCIN/293621","235","20$ approx","","22","Blacktown","229","Hoyts Cinemas","8.8%","Pathaan  (Hindi, Eng Sub)","Auto","1/02/2023 11:18:04 AM","440 $","Xtremescreen 05","1/02/2023 2:45:00 PM"
"WESCIN/294203","89","20$ approx","","1","Blacktown","86","Hoyts Cinemas","1.1%","Pathaan  (Hindi, Eng Sub)","Auto","1/02/2023 11:18:05 AM","20 $","Cinema 04","1/02/2023 4:30:00 PM"
"WESCIN/294208","76","20$ approx","","3","Blacktown","73","Hoyts Cinemas","3.9%","Pathaan  (Hindi, Eng Sub)","Auto","1/02/2023 11:18:06 AM","60 $","Cinema 08","1/02/2023 5:20:00 PM"
"WESCIN/293622","176","20$ approx","","83","Blacktown","168","Hoyts Cinemas","33.1%","Pathaan  (Hindi, Eng Sub)","Auto","1/02/2023 11:18:07 AM","1660 $","Xtremescreen 05","1/02/2023 6:00:00 PM"
"WESCIN/294202","85","20$ approx","","6","Blacktown","82","Hoyts Cinemas","6.8%","Pathaan  (Hindi, Eng Sub)","Auto","1/02/2023 11:18:08 AM","120 $","Cinema 02","1/02/2023 8:00:00 PM"
