"TotalCost","Booked","SessionId","Brand","CostPerTicket","Mode","Showtime","Screen","Occupancy","SeatsRemaining","Location","State","LastUpdatedOn","MovieName","Available"
"580 $","29","12630903","Event Cinemas","20$ approx","Auto","Tue 14 February 2:00 PM","12","8.4%","317","Liverpool","NSW","02/14/2023 02:56:18","Pathaan - Hindi","317"
"460 $","23","12630908","Event Cinemas","20$ approx","Auto","Tue 14 February 5:15 PM","12","6.6%","323","Liverpool","NSW","02/14/2023 05:40:43","Pathaan - Hindi","323"
"380 $","19","12630915","Event Cinemas","20$ approx","Auto","Tue 14 February 9:15 PM","5","11.9%","142","Liverpool","NSW","02/14/2023 05:40:45","Pathaan - Hindi","140"
"320 $","16","12625700","Event Cinemas","20$ approx","Auto","Tue 14 February 9:00 PM","1","8.5%","174","Glendale","NSW","02/14/2023 05:40:48","Pathaan - Hindi","172"
"980 $","49","12624809","Event Cinemas","20$ approx","Auto","Tue 14 February 8:40 PM","6","35.3%","99","Castle Hill","NSW","02/14/2023 05:40:51","Pathaan - Hindi","90"
"380 $","19","12627361","Event Cinemas","20$ approx","Auto","Tue 14 February 9:00 PM","1","6.3%","287","Macquarie Park","NSW","02/14/2023 05:40:54","Pathaan - Hindi","284"
"760 $","38","12632301","Event Cinemas","20$ approx","Auto","Tue 14 February 4:20 PM","9","23.6%","124","Burwood","NSW","02/14/2023 05:28:52","Pathaan - Hindi","123"
"700 $","35","12632310","Event Cinemas","20$ approx","Auto","Tue 14 February 7:30 PM","9","21.7%","127","Burwood","NSW","02/14/2023 05:40:57","Pathaan - Hindi","126"
"160 $","8","12625881","Event Cinemas","20$ approx","Auto","Tue 14 February 3:15 PM","8","5.2%","150","Hornsby","NSW","02/14/2023 03:34:47","Pathaan - Hindi","147"
"400 $","20","12625894","Event Cinemas","20$ approx","Auto","Tue 14 February 8:30 PM","3","12.1%","147","Hornsby","NSW","02/14/2023 05:40:59","Pathaan - Hindi","145"
"460 $","23","12633673","Event Cinemas","20$ approx","Auto","Tue 14 February 3:30 PM","7","16.8%","118","Campbelltown","NSW","02/14/2023 04:38:23","Pathaan - Hindi","114"
"1040 $","52","12633677","Event Cinemas","20$ approx","Auto","Tue 14 February 5:50 PM","3","17.2%","255","Campbelltown","NSW","02/14/2023 05:41:02","Pathaan - Hindi","251"
"460 $","23","12633683","Event Cinemas","20$ approx","Auto","Tue 14 February 9:00 PM","3","7.6%","285","Campbelltown","NSW","02/14/2023 05:41:05","Pathaan - Hindi","280"
"440 $","22","12629222","Event Cinemas","20$ approx","Auto","Tue 14 February 12:45 PM","6","6.5%","324","Parramatta","NSW","02/13/2023 23:41:40","Pathaan - Hindi","317"
"1520 $","76","12629230","Event Cinemas","20$ approx","Auto","Tue 14 February 6:00 PM","6","22.4%","269","Parramatta","NSW","02/14/2023 05:41:08","Pathaan - Hindi","263"
"520 $","26","12623886","Event Cinemas","20$ approx","Auto","Tue 14 February 8:45 PM","1","70.3%","11","Parramatta","NSW","02/14/2023 05:41:10","Pathaan - Hindi","11"
"700 $","35","12629237","Event Cinemas","20$ approx","Auto","Tue 14 February 9:00 PM","6","10.3%","310","Parramatta","NSW","02/14/2023 05:41:12","Pathaan - Hindi","304"
"320 $","16","12625068","Event Cinemas","20$ approx","Auto","Tue 14 February 5:30 PM","6","14.4%","97","Ryde","NSW","02/14/2023 05:41:15","Pathaan - Hindi","95"
"180 $","9","12625078","Event Cinemas","20$ approx","Auto","Tue 14 February 9:00 PM","8","6.5%","137","Ryde","NSW","02/14/2023 05:41:18","Pathaan - Hindi","130"
"240 $","12","12626796","Event Cinemas","20$ approx","Auto","Tue 14 February 1:40 PM","5","16%","66","Hurstville","NSW","02/14/2023 02:57:03","Pathaan - Hindi","63"
"640 $","32","12626802","Event Cinemas","20$ approx","Auto","Tue 14 February 5:45 PM","8","25.4%","100","Hurstville","NSW","02/14/2023 05:41:20","Pathaan - Hindi","94"
"200 $","10","12626806","Event Cinemas","20$ approx","Auto","Tue 14 February 8:30 PM","6","7.6%","125","Hurstville","NSW","02/14/2023 05:41:23","Pathaan - Hindi","122"
