"Available","Mode","CostPerTicket","Location","MovieName","Booked","Showtime","SeatsRemaining","LastUpdatedOn","Occupancy","TotalCost","Screen","State","SessionId","Brand"
"322","Auto","20$ approx","Liverpool","Pathaan - Hindi","24","Sun 12 February 3:00 PM","322","02/11/2023 22:27:58","6.9%","480 $","12","NSW","12630852","Event Cinemas"
"244","Auto","20$ approx","Liverpool","Pathaan - Hindi","34","Sun 12 February 7:00 PM","248","02/12/2023 07:38:01","12.2%","680 $","10","NSW","12630862","Event Cinemas"
"168","Auto","20$ approx","Glendale","Pathaan - Hindi","20","Sun 12 February 9:00 PM","176","02/12/2023 07:38:04","10.6%","400 $","1","NSW","12626523","Event Cinemas"
"174","Auto","20$ approx","Castle Hill","Pathaan - Hindi","61","Sun 12 February 5:45 PM","178","02/11/2023 22:28:04","26%","1220 $","4","NSW","12624714","Event Cinemas"
"39","Auto","20$ approx","Castle Hill","Pathaan - Hindi","7","Sun 12 February 7:40 PM","39","02/12/2023 07:38:06","15.2%","140 $","2","NSW","12624135","Event Cinemas"
"216","Auto","20$ approx","Castle Hill","Pathaan - Hindi","19","Sun 12 February 8:50 PM","220","02/12/2023 07:38:09","8.1%","380 $","4","NSW","12624727","Event Cinemas"
"294","Auto","20$ approx","Macquarie Park","Pathaan - Hindi","9","Sun 12 February 9:00 PM","297","02/12/2023 07:38:11","3%","180 $","1","NSW","12627257","Event Cinemas"
"143","Auto","20$ approx","Burwood","Pathaan - Hindi","18","Sun 12 February 4:20 PM","144","02/11/2023 22:28:11","11.2%","360 $","9","NSW","12632207","Event Cinemas"
"119","Auto","20$ approx","Burwood","Pathaan - Hindi","42","Sun 12 February 7:30 PM","123","02/12/2023 07:38:14","26.1%","840 $","9","NSW","12632219","Event Cinemas"
"149","Auto","20$ approx","Hornsby","Pathaan - Hindi","6","Sun 12 February 5:00 PM","152","02/11/2023 22:28:15","3.9%","120 $","8","NSW","12625811","Event Cinemas"
"146","Auto","20$ approx","Hornsby","Pathaan - Hindi","19","Sun 12 February 8:40 PM","150","02/12/2023 07:38:16","11.5%","380 $","3","NSW","12625823","Event Cinemas"
"111","Auto","20$ approx","Campbelltown","Pathaan - Hindi","26","Sun 12 February 3:45 PM","113","02/11/2023 22:28:18","19%","520 $","7","NSW","12633625","Event Cinemas"
"159","Auto","20$ approx","Campbelltown","Pathaan - Hindi","36","Sun 12 February 6:20 PM","161","02/12/2023 07:38:17","18.5%","720 $","6","NSW","12633629","Event Cinemas"
"274","Auto","20$ approx","Parramatta","Pathaan - Hindi","65","Sun 12 February 3:10 PM","283","02/11/2023 22:28:22","19.2%","1300 $","6","NSW","12629199","Event Cinemas"
"304","Auto","20$ approx","Parramatta","Pathaan - Hindi","35","Sun 12 February 6:15 PM","313","02/11/2023 22:28:24","10.3%","700 $","6","NSW","12628047","Event Cinemas"
"30","Auto","20$ approx","Parramatta","Pathaan - Hindi","7","Sun 12 February 8:45 PM","31","02/12/2023 07:38:19","18.9%","140 $","1","NSW","12623859","Event Cinemas"
"376","Auto","20$ approx","Parramatta","Pathaan - Hindi","14","Sun 12 February 9:00 PM","385","02/12/2023 07:38:21","3.6%","280 $","1","NSW","12627025","Event Cinemas"
"94","Auto","20$ approx","Ryde","Pathaan - Hindi","17","Sun 12 February 5:30 PM","98","02/11/2023 22:28:28","15.3%","340 $","6","NSW","12625001","Event Cinemas"
"134","Auto","20$ approx","Ryde","Pathaan - Hindi","4","Sun 12 February 9:00 PM","136","02/12/2023 07:38:25","2.9%","80 $","8","NSW","12625011","Event Cinemas"
"138","Auto","20$ approx","Hurstville","Pathaan - Hindi","17","Sun 12 February 6:00 PM","143","02/11/2023 22:28:32","11%","340 $","3","NSW","12626007","Event Cinemas"
